dir,start_time_utc,end_time_utc,bars,net_pts,span_pts,efficiency_%,mae_pts,start_close,end_close,start_time_london,end_time_london
UP,2025-03-19 15:29:00+00:00,2025-03-19 16:15:00+00:00,47,79.4,148.0,53.6,12.6,41829.6,41909.0,2025-03-19 15:29:00+00:00,2025-03-19 16:15:00+00:00
DOWN,2025-03-19 16:55:00+00:00,2025-03-19 17:38:00+00:00,44,-103.6,180.0,57.6,12.4,41885.6,41782.0,2025-03-19 16:55:00+00:00,2025-03-19 17:38:00+00:00
DOWN,2025-03-20 17:15:00+00:00,2025-03-20 17:45:00+00:00,31,-74.0,171.0,43.3,14.0,42095.0,42021.0,2025-03-20 17:15:00+00:00,2025-03-20 17:45:00+00:00
DOWN,2025-03-21 12:20:00+00:00,2025-03-21 13:41:00+00:00,82,-235.4,365.9,64.3,27.5,41854.6,41619.2,2025-03-21 12:20:00+00:00,2025-03-21 13:41:00+00:00
UP,2025-03-21 16:03:00+00:00,2025-03-21 17:18:00+00:00,76,237.0,302.4,78.4,11.0,41715.6,41952.6,2025-03-21 16:03:00+00:00,2025-03-21 17:18:00+00:00
UP,2025-03-21 19:43:00+00:00,2025-03-24 12:16:00+00:00,95,505.0,547.4,92.3,12.4,41908.0,42413.0,2025-03-21 19:43:00+00:00,2025-03-24 12:16:00+00:00
DOWN,2025-03-24 16:25:00+00:00,2025-03-24 17:28:00+00:00,64,-74.6,147.0,50.7,35.0,42566.6,42492.0,2025-03-24 16:25:00+00:00,2025-03-24 17:28:00+00:00
UP,2025-03-24 18:37:00+00:00,2025-03-24 19:58:00+00:00,82,186.4,237.0,78.6,13.6,42465.6,42652.0,2025-03-24 18:37:00+00:00,2025-03-24 19:58:00+00:00
UP,2025-03-25 11:25:00+00:00,2025-03-25 12:53:00+00:00,89,88.0,99.5,88.4,1.0,42622.0,42710.0,2025-03-25 11:25:00+00:00,2025-03-25 12:53:00+00:00
UP,2025-03-25 14:20:00+00:00,2025-03-25 15:17:00+00:00,58,70.0,129.0,54.3,30.0,42627.0,42697.0,2025-03-25 14:20:00+00:00,2025-03-25 15:17:00+00:00
DOWN,2025-03-25 15:30:00+00:00,2025-03-25 16:41:00+00:00,72,-112.4,147.2,76.4,7.4,42696.6,42584.2,2025-03-25 15:30:00+00:00,2025-03-25 16:41:00+00:00
UP,2025-03-25 19:40:00+00:00,2025-03-26 12:05:00+00:00,87,97.0,138.5,70.0,21.0,42568.2,42665.2,2025-03-25 19:40:00+00:00,2025-03-26 12:05:00+00:00
UP,2025-03-26 13:30:00+00:00,2025-03-26 13:59:00+00:00,30,71.0,183.1,38.8,31.5,42715.2,42786.2,2025-03-26 13:30:00+00:00,2025-03-26 13:59:00+00:00
DOWN,2025-03-26 15:11:00+00:00,2025-03-26 16:26:00+00:00,76,-207.0,290.0,71.4,16.0,42809.2,42602.2,2025-03-26 15:11:00+00:00,2025-03-26 16:26:00+00:00
DOWN,2025-03-26 16:50:00+00:00,2025-03-26 17:41:00+00:00,52,-111.0,212.6,52.2,20.6,42590.2,42479.2,2025-03-26 16:50:00+00:00,2025-03-26 17:41:00+00:00
DOWN,2025-03-27 13:08:00+00:00,2025-03-27 13:53:00+00:00,46,-163.5,339.5,48.2,18.0,42506.7,42343.2,2025-03-27 13:08:00+00:00,2025-03-27 13:53:00+00:00
DOWN,2025-03-27 15:22:00+00:00,2025-03-27 16:04:00+00:00,43,-88.0,175.4,50.2,28.0,42477.2,42389.2,2025-03-27 15:22:00+00:00,2025-03-27 16:04:00+00:00
UP,2025-03-27 18:02:00+00:00,2025-03-27 18:54:00+00:00,53,108.0,139.6,77.4,9.0,42314.0,42422.0,2025-03-27 18:02:00+00:00,2025-03-27 18:54:00+00:00
DOWN,2025-03-27 19:50:00+00:00,2025-03-28 11:55:00+00:00,67,-117.6,186.0,63.2,34.4,42416.6,42299.0,2025-03-27 19:50:00+00:00,2025-03-28 11:55:00+00:00
DOWN,2025-03-28 12:24:00+00:00,2025-03-28 13:07:00+00:00,44,-110.0,128.5,85.6,7.5,42298.5,42188.5,2025-03-28 12:24:00+00:00,2025-03-28 13:07:00+00:00
DOWN,2025-03-28 13:40:00+00:00,2025-03-28 15:25:00+00:00,106,-420.4,529.0,79.5,35.0,42217.0,41796.6,2025-03-28 13:40:00+00:00,2025-03-28 15:25:00+00:00
DOWN,2025-03-28 16:53:00+00:00,2025-03-28 17:41:00+00:00,49,-102.0,178.4,57.2,33.0,41710.8,41608.8,2025-03-28 16:53:00+00:00,2025-03-28 17:41:00+00:00
DOWN,2025-03-28 19:58:00+00:00,2025-03-31 12:24:00+00:00,88,-311.6,364.5,85.5,17.4,41612.4,41300.8,2025-03-28 19:58:00+00:00,2025-03-31 13:24:00+01:00
UP,2025-04-01 12:50:00+00:00,2025-04-01 13:29:00+00:00,40,76.0,140.0,54.3,33.5,41816.1,41892.1,2025-04-01 13:50:00+01:00,2025-04-01 14:29:00+01:00
UP,2025-04-01 14:36:00+00:00,2025-04-01 16:25:00+00:00,110,447.6,527.6,84.8,23.6,41684.2,42131.8,2025-04-01 15:36:00+01:00,2025-04-01 17:25:00+01:00
DOWN,2025-04-01 17:15:00+00:00,2025-04-01 17:49:00+00:00,35,-78.6,139.6,56.3,9.0,42043.8,41965.2,2025-04-01 18:15:00+01:00,2025-04-01 18:49:00+01:00
DOWN,2025-04-01 17:52:00+00:00,2025-04-01 18:54:00+00:00,63,-185.6,262.4,70.7,31.4,41956.8,41771.2,2025-04-01 18:52:00+01:00,2025-04-01 19:54:00+01:00
DOWN,2025-04-02 11:00:00+00:00,2025-04-02 12:47:00+00:00,108,-96.5,187.0,51.6,28.5,41809.2,41712.7,2025-04-02 12:00:00+01:00,2025-04-02 13:47:00+01:00
UP,2025-04-02 16:39:00+00:00,2025-04-02 17:30:00+00:00,52,156.0,287.0,54.4,29.0,42170.8,42326.8,2025-04-02 17:39:00+01:00,2025-04-02 18:30:00+01:00
DOWN,2025-04-02 17:31:00+00:00,2025-04-02 18:36:00+00:00,66,-190.0,337.4,56.3,23.4,42303.8,42113.8,2025-04-02 18:31:00+01:00,2025-04-02 19:36:00+01:00
UP,2025-04-02 19:26:00+00:00,2025-04-02 20:00:00+00:00,35,117.4,233.6,50.3,28.6,42139.8,42257.2,2025-04-02 20:26:00+01:00,2025-04-02 21:00:00+01:00
DOWN,2025-04-03 12:15:00+00:00,2025-04-03 13:09:00+00:00,55,-92.0,187.0,49.2,25.5,41096.7,41004.7,2025-04-03 13:15:00+01:00,2025-04-03 14:09:00+01:00
UP,2025-04-03 15:53:00+00:00,2025-04-03 16:49:00+00:00,57,236.8,358.8,66.0,28.0,40843.2,41080.0,2025-04-03 16:53:00+01:00,2025-04-03 17:49:00+01:00
DOWN,2025-04-03 17:50:00+00:00,2025-04-03 18:39:00+00:00,50,-123.6,225.4,54.8,26.4,40958.0,40834.4,2025-04-03 18:50:00+01:00,2025-04-03 19:39:00+01:00
DOWN,2025-04-03 19:08:00+00:00,2025-04-04 11:55:00+00:00,109,-1557.2,1912.1,81.4,25.4,40846.0,39288.8,2025-04-03 20:08:00+01:00,2025-04-04 12:55:00+01:00
UP,2025-04-08 13:01:00+00:00,2025-04-08 13:32:00+00:00,32,175.5,409.5,42.9,28.0,39061.5,39237.0,2025-04-08 14:01:00+01:00,2025-04-08 14:32:00+01:00
DOWN,2025-04-10 15:10:00+00:00,2025-04-10 16:33:00+00:00,84,-809.0,1260.4,64.2,21.0,39698.0,38889.0,2025-04-10 16:10:00+01:00,2025-04-10 17:33:00+01:00
DOWN,2025-04-11 12:51:00+00:00,2025-04-11 13:38:00+00:00,48,-253.9,500.4,50.7,31.5,39757.5,39503.6,2025-04-11 13:51:00+01:00,2025-04-11 14:38:00+01:00
UP,2025-04-14 12:13:00+00:00,2025-04-14 13:29:00+00:00,77,197.5,253.5,77.9,31.5,40569.1,40766.6,2025-04-14 13:13:00+01:00,2025-04-14 14:29:00+01:00
DOWN,2025-04-14 15:02:00+00:00,2025-04-14 16:18:00+00:00,77,-341.6,529.6,64.5,22.0,40679.2,40337.6,2025-04-14 16:02:00+01:00,2025-04-14 17:18:00+01:00
DOWN,2025-04-14 19:47:00+00:00,2025-04-15 11:27:00+00:00,42,-104.1,211.6,49.2,33.0,40706.6,40602.5,2025-04-14 20:47:00+01:00,2025-04-15 12:27:00+01:00
DOWN,2025-04-15 11:33:00+00:00,2025-04-15 12:38:00+00:00,66,-174.0,260.5,66.8,19.5,40599.0,40425.0,2025-04-15 12:33:00+01:00,2025-04-15 13:38:00+01:00
UP,2025-04-15 12:51:00+00:00,2025-04-15 14:16:00+00:00,86,294.5,397.1,74.2,11.0,40444.5,40739.0,2025-04-15 13:51:00+01:00,2025-04-15 15:16:00+01:00
DOWN,2025-04-15 16:50:00+00:00,2025-04-15 17:39:00+00:00,50,-102.0,201.6,50.6,20.0,40630.6,40528.6,2025-04-15 17:50:00+01:00,2025-04-15 18:39:00+01:00
DOWN,2025-04-15 17:50:00+00:00,2025-04-15 18:30:00+00:00,41,-83.4,149.6,55.7,20.6,40524.0,40440.6,2025-04-15 18:50:00+01:00,2025-04-15 19:30:00+01:00
DOWN,2025-04-15 19:54:00+00:00,2025-04-16 11:41:00+00:00,49,-81.5,187.0,43.6,31.0,40451.0,40369.5,2025-04-15 20:54:00+01:00,2025-04-16 12:41:00+01:00
DOWN,2025-04-16 12:37:00+00:00,2025-04-16 13:30:00+00:00,54,-132.4,150.5,88.0,5.0,40359.0,40226.6,2025-04-16 13:37:00+01:00,2025-04-16 14:30:00+01:00
UP,2025-04-16 14:22:00+00:00,2025-04-16 15:41:00+00:00,80,170.4,313.0,54.4,30.0,40163.6,40334.0,2025-04-16 15:22:00+01:00,2025-04-16 16:41:00+01:00
DOWN,2025-04-16 15:44:00+00:00,2025-04-16 16:33:00+00:00,50,-124.8,180.0,69.3,13.4,40319.6,40194.8,2025-04-16 16:44:00+01:00,2025-04-16 17:33:00+01:00
UP,2025-04-17 17:45:00+00:00,2025-04-17 18:28:00+00:00,44,97.0,188.4,51.5,29.0,39321.6,39418.6,2025-04-17 18:45:00+01:00,2025-04-17 19:28:00+01:00
DOWN,2025-04-17 18:46:00+00:00,2025-04-17 19:30:00+00:00,45,-137.4,279.0,49.2,35.0,39413.0,39275.6,2025-04-17 19:46:00+01:00,2025-04-17 20:30:00+01:00
DOWN,2025-04-17 19:43:00+00:00,2025-04-21 12:11:00+00:00,90,-524.8,622.8,84.3,29.0,39272.6,38747.8,2025-04-17 20:43:00+01:00,2025-04-21 13:11:00+01:00
DOWN,2025-04-21 16:48:00+00:00,2025-04-21 18:16:00+00:00,89,-215.6,310.6,69.4,20.0,38120.4,37904.8,2025-04-21 17:48:00+01:00,2025-04-21 19:16:00+01:00
UP,2025-04-21 19:01:00+00:00,2025-04-22 11:56:00+00:00,117,501.9,603.9,83.1,24.0,37926.4,38428.3,2025-04-21 20:01:00+01:00,2025-04-22 12:56:00+01:00
UP,2025-04-22 11:58:00+00:00,2025-04-22 13:29:00+00:00,92,174.0,216.0,80.6,23.0,38435.3,38609.3,2025-04-22 12:58:00+01:00,2025-04-22 14:29:00+01:00
UP,2025-04-24 12:34:00+00:00,2025-04-24 13:29:00+00:00,56,97.5,141.0,69.1,24.5,39459.0,39556.5,2025-04-24 13:34:00+01:00,2025-04-24 14:29:00+01:00
UP,2025-04-24 13:40:00+00:00,2025-04-24 15:24:00+00:00,105,367.6,466.0,78.9,33.4,39507.0,39874.6,2025-04-24 14:40:00+01:00,2025-04-24 16:24:00+01:00
UP,2025-04-24 16:11:00+00:00,2025-04-24 17:08:00+00:00,58,150.2,239.6,62.7,16.4,39885.0,40035.2,2025-04-24 17:11:00+01:00,2025-04-24 18:08:00+01:00
UP,2025-04-25 15:50:00+00:00,2025-04-25 16:46:00+00:00,57,105.4,171.4,61.5,28.0,39898.6,40004.0,2025-04-25 16:50:00+01:00,2025-04-25 17:46:00+01:00
UP,2025-04-25 16:49:00+00:00,2025-04-25 17:37:00+00:00,49,129.6,173.0,74.9,21.0,39998.0,40127.6,2025-04-25 17:49:00+01:00,2025-04-25 18:37:00+01:00
UP,2025-04-25 18:08:00+00:00,2025-04-25 18:50:00+00:00,43,92.0,133.0,69.2,13.4,40017.0,40109.0,2025-04-25 19:08:00+01:00,2025-04-25 19:50:00+01:00
UP,2025-04-28 12:22:00+00:00,2025-04-28 13:28:00+00:00,67,139.0,185.0,75.1,16.0,40087.0,40226.0,2025-04-28 13:22:00+01:00,2025-04-28 14:28:00+01:00
DOWN,2025-04-28 14:52:00+00:00,2025-04-28 16:42:00+00:00,111,-275.4,356.4,77.3,27.0,40278.0,40002.6,2025-04-28 15:52:00+01:00,2025-04-28 17:42:00+01:00
UP,2025-04-28 17:38:00+00:00,2025-04-28 19:59:00+00:00,142,288.0,394.0,73.1,15.4,39956.0,40244.0,2025-04-28 18:38:00+01:00,2025-04-28 20:59:00+01:00
UP,2025-04-29 14:35:00+00:00,2025-04-29 15:17:00+00:00,43,99.0,218.0,45.4,35.0,40357.0,40456.0,2025-04-29 15:35:00+01:00,2025-04-29 16:17:00+01:00
DOWN,2025-04-29 16:44:00+00:00,2025-04-29 17:16:00+00:00,33,-85.4,162.6,52.5,14.6,40494.0,40408.6,2025-04-29 17:44:00+01:00,2025-04-29 18:16:00+01:00
UP,2025-04-29 17:17:00+00:00,2025-04-29 18:19:00+00:00,63,149.6,247.0,60.6,33.0,40441.0,40590.6,2025-04-29 18:17:00+01:00,2025-04-29 19:19:00+01:00
DOWN,2025-04-30 12:05:00+00:00,2025-04-30 13:24:00+00:00,80,-349.0,457.5,76.3,13.5,40572.5,40223.5,2025-04-30 13:05:00+01:00,2025-04-30 14:24:00+01:00
UP,2025-04-30 17:25:00+00:00,2025-04-30 17:59:00+00:00,35,90.0,149.0,60.4,24.4,40305.0,40395.0,2025-04-30 18:25:00+01:00,2025-04-30 18:59:00+01:00
UP,2025-05-23 17:02:00+00:00,2025-05-23 17:39:00+00:00,38,90.0,157.6,57.1,25.6,41603.6,41693.6,2025-05-23 18:02:00+01:00,2025-05-23 18:39:00+01:00
UP,2025-05-23 17:44:00+00:00,2025-05-23 18:18:00+00:00,35,70.6,121.4,58.2,21.4,41683.0,41753.6,2025-05-23 18:44:00+01:00,2025-05-23 19:18:00+01:00
UP,2025-05-26 15:17:00+00:00,2025-05-26 16:20:00+00:00,64,87.0,109.0,79.8,5.4,41972.0,42059.0,2025-05-26 16:17:00+01:00,2025-05-26 17:20:00+01:00
UP,2025-05-27 14:16:00+00:00,2025-05-27 15:21:00+00:00,66,113.0,158.0,71.5,20.6,41995.6,42108.6,2025-05-27 15:16:00+01:00,2025-05-27 16:21:00+01:00
UP,2025-05-27 15:23:00+00:00,2025-05-27 17:07:00+00:00,105,171.0,233.4,73.3,14.4,42102.0,42273.0,2025-05-27 16:23:00+01:00,2025-05-27 18:07:00+01:00
DOWN,2025-05-28 14:01:00+00:00,2025-05-28 15:03:00+00:00,63,-74.0,148.6,49.8,29.6,42343.0,42269.0,2025-05-28 15:01:00+01:00,2025-05-28 16:03:00+01:00
DOWN,2025-05-28 19:14:00+00:00,2025-05-28 20:00:00+00:00,47,-129.1,178.6,72.3,21.0,42203.4,42074.3,2025-05-28 20:14:00+01:00,2025-05-28 21:00:00+01:00
UP,2025-05-29 16:14:00+00:00,2025-05-29 17:47:00+00:00,94,131.2,201.0,65.3,31.4,41993.8,42125.0,2025-05-29 17:14:00+01:00,2025-05-29 18:47:00+01:00
UP,2025-06-02 17:52:00+00:00,2025-06-03 13:50:00+00:00,150,232.4,295.6,78.6,7.6,42079.2,42311.6,2025-06-02 18:52:00+01:00,2025-06-03 14:50:00+01:00
UP,2025-06-03 14:19:00+00:00,2025-06-03 16:41:00+00:00,143,209.4,256.4,81.7,11.0,42273.2,42482.6,2025-06-03 15:19:00+01:00,2025-06-03 17:41:00+01:00
DOWN,2025-06-05 16:34:00+00:00,2025-06-05 17:10:00+00:00,37,-89.4,205.6,43.5,14.6,42541.4,42452.0,2025-06-05 17:34:00+01:00,2025-06-05 18:10:00+01:00
DOWN,2025-06-06 15:11:00+00:00,2025-06-06 15:47:00+00:00,37,-91.6,213.6,42.9,27.0,42764.8,42673.2,2025-06-06 16:11:00+01:00,2025-06-06 16:47:00+01:00
DOWN,2025-06-06 16:34:00+00:00,2025-06-06 17:17:00+00:00,44,-97.4,138.4,70.4,10.0,42694.2,42596.8,2025-06-06 17:34:00+01:00,2025-06-06 18:17:00+01:00
UP,2025-06-06 17:18:00+00:00,2025-06-06 18:44:00+00:00,87,124.0,201.4,61.6,33.4,42628.2,42752.2,2025-06-06 18:18:00+01:00,2025-06-06 19:44:00+01:00
DOWN,2025-06-06 19:59:00+00:00,2025-06-09 14:20:00+00:00,53,-113.4,185.0,61.3,35.0,42747.2,42633.8,2025-06-06 20:59:00+01:00,2025-06-09 15:20:00+01:00
UP,2025-06-09 15:30:00+00:00,2025-06-09 18:33:00+00:00,184,233.6,263.6,88.6,9.0,42641.2,42874.8,2025-06-09 16:30:00+01:00,2025-06-09 19:33:00+01:00
